id,latex,offset,category,shortcut,order,label
matrix2X2,\left [ \begin{matrix} {} &{} \\ {} &{} \end{matrix} \right ],-37,2-dimension,-1,0,matrix (2X2)
matrix3X3,\left [ \begin{matrix} {} &{} &{} \\ {} &{} &{} \\ {} &{} &{} \end{matrix} \right ],-59,2-dimension,-1,1,matrix (3X3)
determinant2X2,\left | \begin{array} {cc} {} &{} \\ {} &{} \end{array} \right |,-36,2-dimension,-1,2,determinant (2X2)
determinant3X3,\left | \begin{array} {ccc} {} &{} &{} \\ {} &{} &{} \\ {} &{} &{} \end{array} \right |,-58,2-dimension,-1,3,determinant (3X3)
leftarrow,\leftarrow ,0,arrow,-1,0,left arrow
rightarrow,\rightarrow ,0,arrow,-1,1,right arrow
leftrightarrow,\leftrightarrow ,0,arrow,-1,2,left right arrow
uparrow,\uparrow ,0,arrow,-1,3,up arrow
downarrow,\downarrow ,0,arrow,-1,4,down arrow
updownarrow,\updownarrow ,0,arrow,-1,5,up down arrow
dotproduct,\cdot ,0,calculus,-1,5,dot product
integral,\int_{}^{}{} \mathrm d,-16,calculus,-1,1,integral
nabla,\nabla ,0,calculus,-1,2,nabla
partial,\partial ,0,calculus,-1,4,partial derivative
prime,\prime ,0,calculus,-1,3,derivative
differential,\mathrm{d},-1,calculus,-1,0,differential
combination,C_{}^{},-4,combinatorics,-1,0,combination
permutation,P_{}^{},-4,combinatorics,-1,1,permutation
combination-with-repetition,H_{}^{},-4,combinatorics,-1,2,combination with repetition
unordered-selection,U_{}^{},-4,combinatorics,-1,3,unordered selection
frac,\frac{}{},-3,common,1,0,fractions
sqrt,\sqrt{},-1,common,-1,1,square root
root,\sqrt[]{},-3,common,-1,2,root
sumupdown,\sum_{}^{},-4,common,-1,3,summation
vector,\vec{},-1,common,-1,4,vector
limit,\lim_{{} \to {}},-9,common,-1,5,limit
logarithm,\log_{},-1,common,-1,6,logarithm
arc,\overset{\frown}{},-1,geometry,-1,0,arc
triangle,\triangle{},-1,geometry,-1,1,triangle
angle,\angle{},-1,geometry,-1,2,angle
degree,^{\circ},-8,geometry,-1,3,degree
circ,\circ ,0,geometry,-1,4,circle
parallel,\parallel ,0,geometry,-1,5,parallel
perp,\perp ,0,geometry,-1,6,perpendicular
square,\square{},-1,geometry,-1,7,square
small-diamond,\diamond{},-1,geometry,-1,8,small diamond
large-diamond,\Diamond{},-1,geometry,-1,9,large diamond
because,\because ,0,logic,-1,0,because
therefore,\therefore ,0,logic,-1,1,therefore
iff,\iff ,0,logic,-1,2,if and only if
implies,\implies ,0,logic,-1,3,implies
impliedby,\impliedby ,0,logic,-1,4,implied by
times,\times ,0,operator,-1,0,times
div,\div ,0,operator,-1,1,divide
pm,\pm ,0,operator,-1,2,plus-minus sign
modulus,\bmod ,0,operator,-1,3,modulus
overline,\overline{},-1,other,-1,0,line segment
overleftrightarrow,\overleftrightarrow{},-1,other,-1,1,line
overrightarrow,\overrightarrow{},-1,other,-1,2,ray
binom,\binom{}{},-3,other,-1,3,binomial coefficient
simultaneous-equations,\begin{cases} {} &{} \\ {} &{} \end{cases},-27,other,-1,4,simultaneous equations
infty,\infty ,0,other,-1,5,infty
repeating-decimal,0.\overline{},-1,other,-1,6,repeating decimal
ge,\ge ,0,relation,-1,0,greater than or equal to
le,\le ,0,relation,-1,1,less than or equal to
ne,\ne ,0,relation,-1,2,not equal to
approx,\approx ,0,relation,-1,3,approximate
cong,\cong ,0,relation,-1,5,full equal
sim,\sim ,0,relation,-1,6,similar
doteqdot,\doteqdot ,0,relation,-1,4,approximately equal to
propto,\propto ,0,relation,-1,7,proportional to
in,\in ,0,set,-1,0,belong to
notin,\not\in ,0,set,-1,1,not belong to
ni,\ni ,0,set,-1,2,include element
notni,\not\ni ,0,set,-1,3,not include element
subset,\subset ,0,set,-1,4,lie in
subsetneqq,\subsetneqq ,0,set,-1,5,properly lie in
not-subset,\not\subset ,0,set,-1,6,not lie in
supset,\supset ,0,set,-1,7,include
supsetneqq,\supsetneqq ,0,set,-1,8,properly include
not-supset,\not\supset ,0,set,-1,9,not include
cap,\cap ,0,set,-1,10,intersection set
cup,\cup ,0,set,-1,11,union set
setminus,\setminus ,0,set,-1,12,difference set
complement,\complement_{},-1,set,-1,13,complement
emptyset,\emptyset ,0,set,-1,14,empty set
natural-number,\mathbb{N},0,set,-1,15,natural number
real-number,\mathbb{R},0,set,-1,16,real number
forall,\forall ,0,set,-1,17,for all
exists,\exists ,0,set,-1,18,exists
sine,\sin{},-1,trigonometric,-1,0,sine
cosine,\cos{},-1,trigonometric,-1,1,cosine
tangent,\tan{},-1,trigonometric,-1,2,tangent
cotangent,\cot{},-1,trigonometric,-1,3,cotangent
secant,\sec{},-1,trigonometric,-1,4,secant
cosecant,\csc{},-1,trigonometric,-1,5,cosecant
arcsine,\arcsin{},-1,trigonometric,-1,6,arcsine
arccosine,\arccos{},-1,trigonometric,-1,7,arccosine
arctangent,\arctan{},-1,trigonometric,-1,8,arctangent
hyperbolic-sine,\sinh{},-1,trigonometric,-1,9,hyperbolic sine
hyperbolic-cosine,\cosh{},-1,trigonometric,-1,10,hyperbolic cosine
hyperbolic-tangent,\tanh{},-1,trigonometric,-1,11,hyperbolic tangent
hyperbolic-cotangent,\coth{},-1,trigonometric,-1,12,hyperbolic cotangent
floor,\lfloor  \rfloor,-8,other,-1,7,floor
ceil,\lceil  \rceil,-8,other,-1,8,ceil
