latex,編碼,符號,點字,來源,count
!,0021,!,⠖,self,2
,0023,#,⠨⠼,self,2
\$,0024,$,⠈⠎,self,1
\%,0025,%,⠈⠴,self,2
\&,0026,&,⠸⠯,self,1
,0027,',⠄,self,2
(,0028,(,⠷,self,1
),0029,),⠾,self,1
\ast,002A,*,⠡,self,4
+,002B,+,⠬,self,3
",",002C,",",⠠,self,1
-,002D,-,⠤,self,4
,002E,.,⠨,self,2
/,002F,/,⠌,self,2
0,0030,0,⠴,self,2
1,0031,1,⠂,self,1
2,0032,2,⠆,self,2
3,0033,3,⠒,self,2
4,0034,4,⠲,self,1
5,0035,5,⠢,self,1
6,0036,6,⠖,self,2
7,0037,7,⠶,self,1
8,0038,8,⠦,self,3
9,0039,9,⠔,self,1
:,003A,:,⠒,self,2
;,003B,;,⠆,self,2
<,003C,<,⠐⠅,self,2
=,003D,=,⠨⠅,self,3
>,003E,>,⠴⠨⠂,self,2
?,003F,?,⠦,self,3
,0040,@,⠈⠁,umbs,1
,0041,A,⠠⠁,letter,1
,0042,B,⠠⠃,letter,1
,0043,C,⠠⠉,letter,1
,0044,D,⠠⠙,letter,1
,0045,E,⠠⠑,letter,1
,0046,F,⠠⠋,letter,1
,0047,G,⠠⠛,letter,1
,0048,H,⠠⠓,letter,1
,0049,I,⠠⠊,letter,2
,004A,J,⠠⠚,letter,1
,004B,K,⠠⠅,letter,1
,004C,L,⠠⠇,letter,1
,004D,M,⠠⠍,letter,1
,004E,N,⠠⠝,letter,1
,004F,O,⠠⠕,letter,1
,0050,P,⠠⠏,letter,1
,0051,Q,⠠⠟,letter,1
,0052,R,⠠⠗,letter,1
,0053,S,⠠⠎,letter,1
,0054,T,⠠⠞,letter,1
,0055,U,⠠⠥,letter,1
,0056,V,⠠⠧,letter,2
,0057,W,⠠⠺,letter,1
,0058,X,⠠⠭,letter,2
,0059,Y,⠠⠽,letter,1
,005A,Z,⠠⠵,letter,1
[,005B,[,⠈⠷,self,1
,005C,\,⠸⠡,umbs,1
],005D,],⠈⠾,self,1
,005E,^,⠸⠣,umbs,1
\_,005F,_,⠸,self,2
,0061,a,⠁,letter,1
,0062,b,⠃,letter,1
,0063,c,⠉,letter,1
,0064,d,⠙,letter,1
