latex,code,symbol,nemeth,source,priority
,0061,a,⠁,letter,1
,0062,b,⠃,letter,1
,0063,c,⠉,letter,1
,0064,d,⠙,letter,1
,0065,e,⠑,letter,1
,0066,f,⠋,letter,1
,0067,g,⠛,letter,1
,0068,h,⠓,letter,1
,0069,i,⠊,letter,1
,006A,j,⠚,letter,1
,006B,k,⠅,letter,1
,006C,l,⠇,letter,1
,006D,m,⠍,letter,1
,006E,n,⠝,letter,1
,006F,o,⠕,letter,1
,0070,p,⠏,letter,1
,0071,q,⠟,letter,1
,0072,r,⠗,letter,1
,0073,s,⠎,letter,1
,0074,t,⠞,letter,1
,0075,u,⠥,letter,1
,0076,v,⠧,letter,1
,0077,w,⠺,letter,1
,0078,x,⠭,letter,1
,0079,y,⠽,letter,1
,007A,z,⠵,letter,1
