latex,code,symbol,nemeth,source,priority,ingore-braille-space
 ,00020, ,⠀,self2,1,False
!,00021,!,⠯,self2,1,True
\#,00023,#,⠨⠼,self,1,True
\$,00024,$,⠈⠎,self,1,True
\%,00025,%,⠈⠴,self,1,True
\&,00026,&,⠸⠯,self,1,True
,00027,',⠄,self,1,True
(,00028,(,⠷,self,1,True
),00029,),⠾,self,1,True
\ast,0002A,*,⠡,self,2,True
+,0002B,+,⠬,self,1,True
",",0002C,",",⠠,self,1,True
-,0002D,-,⠤,self,1,True
.,0002E,.,⠨,self,1,True
/,0002F,/,⠌,self,1,True
0,00030,0,⠴,self,1,True
1,00031,1,⠂,self,1,True
2,00032,2,⠆,self,1,True
3,00033,3,⠒,self,1,True
4,00034,4,⠲,self,1,True
5,00035,5,⠢,self,1,True
6,00036,6,⠖,self,1,True
7,00037,7,⠶,self,1,True
8,00038,8,⠦,self,1,True
9,00039,9,⠔,self,1,True
:,0003A,:,⠐⠂,self2,1,True
;,0003B,;,⠸⠆,self2,1,True
<,0003C,<,⠐⠅,self,1,True
=,0003D,=,⠀⠨⠅⠀,self,1,True
>,0003E,>,⠀⠨⠂⠀,self2,1,False
?,0003F,?,⠸⠦,self2,1,True
@,00040,@,⠈⠁,umbs,1,True
[,0005B,[,⠈⠷,self,1,True
\backslash,0005C,\,⠸⠡,umbs,1,True
],0005D,],⠈⠾,self,1,True
\sphat,0005E,^,⠸⠣,umbs,1,True
\_,0005F,_,⠸,self,1,True
\{,0007B,{,⠨⠷,self,1,True
|,0007C,|,⠳,self,1,True
\},0007D,},⠨⠾,self,1,True
~,0007E,~,⠈⠱,self,2,True
\cent,000A2,¢,⠈⠉,self,1,True
\pounds,000A3,£,⠈⠇,self,1,True
\S,000A7,§,⠈⠠⠎,self,1,True
,000A9,©,⠷⠠⠉⠾,umbs,1,True
\circledR,000AE,®,⠷⠠r⠾,umbs,1,True
^{\circ},000B0,°,⡘⠨⠡,self,1,True
\pm,000B1,±,⠬⠤,self,1,True
,000B2,²,⡘⠆,ctb,1,True
,000B3,³,⡘⠒,ctb,1,True
,000B6,¶,⠨⠏,self,2,True
\cdot,000B7,·,⠡,self,1,True
,000B9,¹,⡘⠂,ctb,1,True
,000BC,¼,⠂⠌⠲,ctb,1,True
,000BD,½,⠂⠌⠆,ctb,1,True
,000BE,¾,⠒⠌⠲,ctb,1,True
\times,000D7,×,⠈⠡,self,1,True
\div,000F7,÷,⠨⠌,self,1,True
A,00391,Α,⠨⠠⠁,self,1,True
B,00392,Β,⠨⠠⠃,self,1,True
\Gamma,00393,Γ,⠨⠠⠛,self,1,True
\Delta,00394,Δ,⠨⠠⠙,self,1,True
E,00395,Ε,⠨⠠⠑,self,1,True
