name	mathml	order	category
node	<math><mn>1</mn><mo>+</mo><mn>2</mn><mo>+</mo><mn>3</mn></math>	0	generics
math	<math><mn>1</mn><mo>+</mo><mn>2</mn><mo>+</mo><mn>3</mn></math>	1	generics
mfrac	<math><mrow><mfrac><mn>3</mn><mrow><mn>1</mn><mo>+</mo><mi>x</mi></mrow></mfrac></mrow></math>	2	fraction
single_fraction	<math><mfrac><mi>3</mi><mi>4</mi></mfrac></math>	3	fraction
AddIntegerFractionType	<math><mn>17</mn><mfrac><mn>2</mn><mn>5</mn></mfrac></math>	4	fraction
BinomialType	<math><mo>(</mo><mfrac linethickness = "0"><mi>n</mi><mi>k</mi></mfrac><mo>)</mo></math>	5	fraction
mfenced	<math><mfenced><mrow><mn>5</mn><mo>+</mo><mn>6</mn></mrow></mfenced></math>	6	fenced
absolute_value	<math><mfenced open="|" close="|"><mrow><mo>-</mo><mn>2</mn></mrow></mfenced></math>	7	fenced
determinant	<math><mfenced open="|" close="|"><mtable><mtr><mtd><mn>2</mn></mtd><mtd><mn>3</mn></mtd></mtr><mtr><mtd><mn>5</mn></mtd><mtd><mi>x</mi></mtd></mtr></mtable></mfenced></math>	8	fenced
matrix	<math><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">[</mo><mtable columnspacing="1em" rowspacing="4pt"><mtr><mtd><mrow data-mjx-texclass="ORD"><mi>a</mi></mrow></mtd><mtd><mrow data-mjx-texclass="ORD"><mi>b</mi></mrow></mtd></mtr><mtr><mtd><mrow data-mjx-texclass="ORD"><mi>c</mi></mrow></mtd><mtd><mrow data-mjx-texclass="ORD"><mi>d</mi></mrow></mtd></mtr></mtable><mo data-mjx-texclass="CLOSE">]</mo></mrow></math>	9	fenced
SimultaneousEquations	<math></math>	10	fenced
msqrt	<math><msqrt><mi>4</mi><mo>+</mo><mi>9</mi></msqrt></math>	11	root
mroot	<math><mroot><mi>9</mi><mi>3</mi></mroot></math>	12	root
single_square_root	<math><msqrt><mi>4</mi></msqrt></math>	13	root
msubsup	<math><msubsup><mi>a</mi><mn>n</mn><mn>2</mn></msubsup><mo>+</mo><msubsup><mi>a</mi><mn>n+1</mn><mn>2</mn></msubsup></math>	14	position
msup	<math><mrow><msup><mi>x</mi><mrow><mi>a</mi><mo>+</mo><mi>b</mi></mrow></msup></mrow></math>	15	position
msub	<math><msub><mi>a</mi><mrow><mi>n</mi><mo>+</mo><mn>1</mn></mrow></msub></math>	16	position
munderover	<math><munderover><mi mathvariant="normal">&#x3C0;</mi><mrow><mi>x</mi><mo>=</mo><mn>0</mn></mrow><mi>N</mi></munderover></math>	17	position
munder	<math><mrow><munder><mrow><mi>lim</mi></mrow><mrow><mi>x</mi><mo>&#x2192;</mo><mi>&#x221E;</mi></mrow></munder></mrow></math>	18	position
mover	<math><mover><mrow><mi>A</mi><mo>+</mo><mi>B</mi></mrow><mo>&#xAF;</mo></mover></math>	19	position
SingleMsubsup	<math><msubsup><mi>a</mi><mn>0</mn><mn>2</mn></msubsup><mo>+</mo><msubsup><mi>a</mi><mn>1</mn><mn>2</mn></msubsup></math>	20	position
SingleMsub	<math><mrow><msub><mrow><mi>log</mi></mrow><mn>2</mn></msub><mn>10</mn></mrow></math>	21	position
SingleMsup	<math><msup><mi>f</mi><mo>'</mo></msup></math>	22	position
